SYMBOL,"SUM OPTSTK,CE1","SUM OPTSTK,PE1","SUM FUTSTK,XX1","SUM FUTSTK,XX2","SUM FUTSTK,XX3","SUM FUTSTK,XX4","SUM FUTSTK,XX5","SUM FUTSTK,XX6","SUM FUTSTK,XX7","SUM FUTSTK,XX8","SUM FUTSTK,XX9","SUM FUTSTK,XX10","SUM AVG,VAL_INLAKH1","SUM AVG,VAL_INLAKH2","SUM AVG,VAL_INLAKH3","SUM AVG,VAL_INLAKH4","SUM AVG,VAL_INLAKH5","SUM AVG,VAL_INLAKH6","SUM AVG,VAL_INLAKH7","SUM AVG,VAL_INLAKH8","SUM AVG,VAL_INLAKH9","SUM AVG,VAL_INLAKH10","SUM OPTIDX,CE1","SUM OPTIDX,PE1","SUM FUTIDX,XX1","SUM %OICOPTSTK,CE1","SUM %OICOPTSTK,PE1","SUM %OICFUTSTK,XX1","SUM %OICOPTIDX,CE1","SUM %OICOPTIDX,PE1","SUM %OICFUTIDX,XX1","SUM PCROPTSTK1"
APOLLOTYRE,5264000,2667000,12484500,13069000,13044500,12740000,11966500,9198000,4235000,4168500,2765000,1792000,-13004.54,19626.829999999998,-13372.189999999999,-15633.03,-25874.879999999997,26120.53,-921.64,-11596.4,9137.099999999999,8374.85,0,0,0,4.5172,5.8813,1.0136,0.0000,0.0000,0.0000,0.5066
ASHOKLEY,20260000,13440000,60100000,60665000,60500000,60095000,56955000,49815000,30505000,30235000,13875000,6685000,-13168.73,41032.07,35129.48,31320.219999999998,-36742.86,49362.979999999996,-2872.66,36560.39,-18934.75,7560.150000000001,0,0,0,-0.0280,1.8230,0.0037,0.0000,0.0000,0.0000,0.6634
ASIANPAINT,1642800,1161000,5897200,5980600,6194800,6444200,6323600,5215400,4007800,4020600,2430800,768400,-28851.14,-41831.79,40807.48,-32604.480000000003,86043.90999999999,66654.36,-5927.2699999999995,-87782.92,86632.3,18950.11,0,0,0,3.1660,10.6961,0.0715,0.0000,0.0000,0.0000,0.7067
ASTRAL,328625,167200,1296900,1321100,1427525,1496000,1486100,1125575,915200,920425,463925,154275,-9852.34,-16431.92,13895.47,8697.58,16363.26,12122.51,-478.86,16997.96,-13147.2,3425.7999999999997,0,0,0,23.7872,3.6045,0.4934,0.0000,0.0000,0.0000,0.5088
ATUL,4200,1500,154875,157650,155325,153825,149775,117375,94950,93375,29400,12300,-2015.15,3254.58,-1790.9099999999999,-2770.76,10170.36,5673.43,-219.88,12348.22,-3153.59,855.39,0,0,0,12.1304,1.3333,0.1573,0.0000,0.0000,0.0000,0.3571
AUBANK,2004000,1304000,6527000,6333000,7115000,7287000,6997000,6185000,4857000,4675000,3039000,939000,-12924.61,34051.78,-12117.39,10750.130000000001,-20933.440000000002,20296.04,-2545.6099999999997,-23089.379999999997,25668,4934.4400000000005,0,0,0,1.0781,0.7112,0.7052,0.0000,0.0000,0.0000,0.6507
AUROPHARMA,2595000,1451000,12524000,12566000,12405000,12593000,12503000,10386000,6862000,6810000,3603000,1866000,19918.52,14408.429999999998,11457.89,-6238.05,26126.67,-28691.99,-660.65,-22565.35,14133.07,4362.06,0,0,0,4.8805,6.6885,0.7426,0.0000,0.0000,0.0000,0.5592
AXISBANK,30148800,22657200,49549200,47610000,40459200,41058000,41713200,38917200,32012400,31584000,17766000,8893200,-130021.12,381955.18,-92172.17,-122635.73000000001,223420.63,-210002.27,-26152.57,373449.98,-110921.93,50547.72,0,0,0,5.2899,9.9454,0.3914,0.0000,0.0000,0.0000,0.7515
BAJAJ-AUTO,748250,494500,1476750,1489500,1491500,1504000,1566250,1521750,1264000,1280500,930500,797000,-19122.7,29480.64,-15643.509999999998,-28052.89,32383.289999999997,39337.38,-2321.6099999999997,-33990.5,27581.74,12723.050000000001,0,0,0,0.8078,1.7192,0.3999,0.0000,0.0000,0.0000,0.6609
BAJAJFINSV,2329000,1403500,5662500,5842000,6066500,6558500,6673500,5703000,4335500,4375000,2546000,1323000,-23414.88,-34430.83,35010.33,-28200.92,46680.009999999995,47102.41,-4674.5,62891.450000000004,36084.01,11892.86,0,0,0,14.9377,3.2827,-0.0407,0.0000,0.0000,0.0000,0.6026
BAJFINANCE,2217750,1411125,4536000,4598000,4780125,5021000,5151875,4047750,3168375,3090250,1517625,947250,54033.29,-80306.69,-92329.33,-95692.43000000001,200624.89,120537.16,-20920.510000000002,200853.76,66727.01,48595.29,0,0,0,0.0359,0.6027,0.2275,0.0000,0.0000,0.0000,0.6363
BALKRISIND,219900,171000,2130900,2118300,2081100,2063100,1995300,1750800,1332900,1321200,853800,315600,-5902.050000000001,6993.38,-8567.550000000001,-6874.45,-17124.06,19030.710000000003,834.02,-14030.79,15503.23,5975.19,0,0,0,4.5830,12.7697,0.5583,0.0000,0.0000,0.0000,0.7776
BALRAMCHIN,4043200,3297600,9230400,9929600,9360000,9337600,8131200,5233600,3099200,3033600,1985600,1328000,-18960.92,32523.69,-12417.23,19373.82,17208.11,10713.949999999999,-479.58,7127.34,-4090.0699999999997,3304.51,0,0,0,1.4346,2.2557,-0.0825,0.0000,0.0000,0.0000,0.8156
BANDHANBNK,40519800,18135000,42145200,41104800,37854000,27451800,25961400,21474000,11971800,11233800,6060600,3130200,-19776.499999999996,-38883.02,141299.55,72766.8,-56487.700000000004,-40867.63,3632.21,22655.8,-12409.89,4801.83,0,0,0,8.2175,5.6975,0.4662,0.0000,0.0000,0.0000,0.4476
BANKBARODA,34550100,20820150,108195750,108377100,110553300,109827900,111536100,95928300,65695500,64396800,38346750,11454300,-33801.840000000004,62106.299999999996,-35973.25,53930.74,-92820.87999999999,111466.68999999999,-5376.75,-65375.11,55452.07,17095.6,0,0,0,2.8369,1.8274,0.1859,0.0000,0.0000,0.0000,0.6026
BATAINDIA,657525,288475,1564750,1595550,1590875,1564475,1560075,1228700,616275,610775,424875,231275,17172.430000000004,6616.740000000001,-6846.45,8853.150000000001,-13863.87,17437.02,-429.75,7793.0199999999995,6410.85,4146.66,0,0,0,13.3078,70.6744,0.4644,0.0000,0.0000,0.0000,0.4387
BEL,41695500,18023400,81464400,80700600,79440900,81042600,79207200,61126800,35716200,35237400,20930400,10134600,-29016.890000000003,40759.7,-21585.83,34116.53999999999,97296.75,45368.29,-2955.48,42713.75,-29642.88,14817.92,0,0,0,13.9993,21.3182,0.2854,0.0000,0.0000,0.0000,0.4323
BERGEPAINT,1449800,993300,8211500,8286300,8650400,8759300,8671300,6983900,4776200,4798200,1936000,466400,-6202.240000000001,11829.03,6778.170000000001,-7702.249999999999,24998.71,21216.690000000002,-1528.02,31799.1,13979.23,2339.23,0,0,0,0.5887,1.7181,0.0855,0.0000,0.0000,0.0000,0.6851
BHARATFORG,3058000,1763000,7825000,7993000,7972000,8112000,7918000,6888000,4973000,4952000,2768000,1138000,32627.079999999998,-27855.88,28679.78,-45166.829999999994,-50663.23,54066.46,-2261.01,27186.21,-22743.84,13049.71,0,0,0,0.5789,33.4688,1.3370,0.0000,0.0000,0.0000,0.5765
BHARTIARTL,18803350,6433400,42467850,41891200,40281900,39975050,39298650,34103100,22686950,22735400,15724400,7152550,93762.65000000001,127334.51000000001,66948.38,-41251.02,165766.87,-147935.77000000002,-6779.37,-84955.47,122242.59,32061.28,0,0,0,12.2549,8.0149,1.5510,0.0000,0.0000,0.0000,0.3421
BHEL,42441000,29379000,126798000,130462500,130872000,130368000,123501000,129916500,35994000,36057000,36477000,37096500,-30803.079999999998,44140.62,-23561.640000000003,54651.71,-12714.11,126456.41,-41.88,297.66999999999996,-414.76,487.36,0,0,0,2.1290,9.3227,0.0410,0.0000,0.0000,0.0000,0.6922
BIOCON,6189300,3997400,27038800,25668000,23857900,21645300,21307200,18064200,12728200,12470600,8459400,4970300,-13813.27,-14297.300000000001,13727.069999999998,-7662.39,-32432.099999999995,27065.140000000003,-1520.77,-20923.710000000003,-21496.8,6317.51,0,0,0,7.7851,3.8804,1.0414,0.0000,0.0000,0.0000,0.6459
BOSCHLTD,22800,12000,196500,199650,208850,208500,189300,139450,79600,78600,43500,18550,-5372.2699999999995,-12222.849999999999,14032.06,19373.77,17497.739999999998,17912.04,-727.95,9352.369999999999,7146.2,2270.74,0,0,0,1.2476,0.4962,0.0012,0.0000,0.0000,0.0000,0.5263
BPCL,6098400,4500000,18550800,18167400,17613000,16702200,15894000,11439000,8942400,8911800,6328800,4408200,-7444.77,-11839.670000000002,-11618.61,10218.27,-32808.94,21711.37,-1176.6299999999999,-19360.3,20004.45,10172.16,0,0,0,3.6157,1.1027,0.1478,0.0000,0.0000,0.0000,0.7379
BRITANNIA,402200,202600,1548600,1536600,1376000,1355800,1358200,1222800,972600,971800,664200,509000,16795.63,-21952.21,-11132.72,-10986.4,-26649.190000000002,-19258.94,1665.43,-21469.37,17151.69,8714.66,0,0,0,2.8528,11.0944,0.2013,0.0000,0.0000,0.0000,0.5037
BSOFT,2496000,1998100,9894400,9843500,10166700,10188800,9781200,7547800,3415100,3333200,2402400,1790100,-5948.4,8765.98,-8264.51,7394.13,-13542.22,19120.33,-1178.34,-5738.29,6224.94,4276.82,0,0,0,5.8980,-0.3882,0.1708,0.0000,0.0000,0.0000,0.8005
CANBK,19866600,20425500,41364000,41825700,42552000,42781500,40891500,38971800,26327700,24867000,14469300,7589700,-40434.409999999996,71533.83,-49549.85,-89888.68,-119658.81000000001,121519.97,-10190.09,-65569.44,58166.409999999996,14326.26,0,0,0,0.4032,2.8598,-0.0115,0.0000,0.0000,0.0000,1.0281
CANFINHOME,1510275,1402050,4773600,4509375,4522050,4604925,4559100,3386175,1819350,1762800,1213875,739050,15757.8,-4339.25,-5708.03,-4244.95,-16447.08,16120.35,-1078.9499999999998,7207.34,4690.9800000000005,2155.82,0,0,0,8.2191,47.3101,3.3856,0.0000,0.0000,0.0000,0.9283
CHAMBLFERT,5367000,2791500,7423500,5986500,5943000,5952000,5737500,4065000,2362500,2341500,1722000,741000,30958.59,-6825.4800000000005,7768.04,6830.93,12650.18,10722.43,-473.65,-5384.18,5086.509999999999,1403.6299999999999,0,0,0,123.1846,28.2619,6.1354,0.0000,0.0000,0.0000,0.5201
CHOLAFIN,3128750,1843750,8205000,8351250,8325000,7380000,7300000,6391250,4517500,4452500,1631250,482500,104414.76,-24556.35,27723.52,-10583.119999999999,-23334.260000000002,27896.47,-1505.41,40080.3,14720.320000000002,3679.73,0,0,0,124.0595,89.7536,0.3030,0.0000,0.0000,0.0000,0.5893
CIPLA,1528800,874900,8581950,8964800,8927100,8737300,8477950,7471100,5238350,5256550,1850550,620100,-20877.6,23075.92,-20612.83,-20391.180000000004,-41908.409999999996,61220.97,-2116.9700000000003,-52076,-21973.28,7287.4400000000005,0,0,0,9.5828,24.1972,0.4790,0.0000,0.0000,0.0000,0.5723
COALINDIA,27581400,12759600,26275200,23843400,23452800,23839200,21554400,18551400,13146000,12944400,9567600,4746000,71626.21,-24445.69,-24613.529999999995,49424.25,-39607.39,-34550.869999999995,2344.95,-23190.74,29234.710000000003,9424.37,0,0,0,50.2728,10.5054,0.6365,0.0000,0.0000,0.0000,0.4626
COFORGE,184950,83400,670950,674100,666150,687300,696000,610500,486450,483900,398100,273150,-7101.05,-7822.18,-9585.37,9372.17,15461.82,14017.019999999999,-391.89,19931.789999999997,11125.519999999999,2003.57,0,0,0,3.3020,0.0476,0.1514,0.0000,0.0000,0.0000,0.4509
COLPAL,421050,146300,2060800,2039100,2033150,1967700,1960000,1833650,1412250,1416450,876750,155050,-4682.610000000001,-4297.17,7010.59,-3884.29,-10160.390000000001,14535.740000000002,-548.96,14470.28,18815.13,1144.56,0,0,0,1.8853,21.9378,0.0522,0.0000,0.0000,0.0000,0.3475
CONCOR,2337000,1298000,6983000,6906000,6959000,6846000,6926000,5535000,3540000,3493000,2101000,850000,13843.77,-13748.89,26203.83,-18238.46,52232.86,35427.37,-1044.26,-20945.850000000002,-18452.61,14239.63,0,0,0,0.3602,0.8615,0.8835,0.0000,0.0000,0.0000,0.5554
COROMANDEL,582400,163100,1533000,1228500,1149400,1080100,1082200,852600,423500,425600,261800,70700,16283.49,-3781.0699999999997,-3397.63,3227.31,-5590.98,8008.39,-774.06,4621.6,3534.63,421.61,0,0,0,10.0829,5.2341,2.3049,0.0000,0.0000,0.0000,0.2800
