SYMBOL,EXPIRY_DT,"SUM CE,OPEN_INT","SUM PE,OPEN_INT","%D_CE,OPEN_INT","%D_PE,OPEN_INT","%D_XX,OPEN_INT",PCR,"XX,OPEN_INT","XX,CLOSE","D_XX,CLOSE","XX,VAL_INLAKH",DELIV_PER,"SUM CE,CONTRACTS","SUM PE,CONTRACTS",PCV,"%D_SUM CE,CONTRACTS","%D_SUM PE,CONTRACTS",DAY
GAIL,24-Nov-2022,484950,494100,0.7097,1.5714,0.2993,1.0189,3257400,85.5,-0.09999999999999432,2009.34," 61.88",32,37,1.1563,0.6000,11.3333,Day1
GAIL,29-Dec-2022,0,0,0.0000,0.0000,0.1818,0.0000,237900,85.6,-0.25,102.05," 61.88",0,0,0.0000,0.0000,0.0000,Day1
GLENMARK,27-Oct-2022,3682300,1232800,-0.0312,-0.0403,0.0085,0.3348,7893600,394.7,3.0500000000000114,4047.04," 32.86",2633,474,0.1800,-0.4016,-0.5900,Day1
GLENMARK,24-Nov-2022,2300,4600,0.0000,0.0000,0.0701,2.0000,263350,396.15,2.9499999999999886,381.48," 32.86",0,0,0.0000,-1.0000,0.0000,Day1
GLENMARK,29-Dec-2022,0,0,0.0000,0.0000,0.0000,0.0000,51750,398.1,1.3000000000000114,13.75," 32.86",0,0,0.0000,0.0000,0.0000,Day1
GMRINFRA,27-Oct-2022,80842500,25177500,0.0124,-0.0018,-0.0327,0.3114,120397500,34.8,0.04999999999999716,6059.66," 29.72",1533,401,0.2616,-0.0675,0.1590,Day1
GMRINFRA,24-Nov-2022,2385000,1485000,2.0286,0.5714,0.1541,0.6226,8595000,34.9,0.04999999999999716,2031.46," 29.72",97,40,0.4124,5.4667,1.5000,Day1
GMRINFRA,29-Dec-2022,0,22500,0.0000,-0.5000,0.1000,0.0000,742500,35.15,0.10000000000000142,54.94," 29.72",0,2,0.0000,0.0000,1.0000,Day1
GNFC,27-Oct-2022,5150600,2987400,0.2370,0.1139,0.0963,0.5800,5860400,710.8,10.149999999999977,48994.67," 14.26",21196,7568,0.3570,-0.3722,-0.2946,Day1
GNFC,24-Nov-2022,370500,132600,0.3380,0.8545,0.2838,0.3579,494000,713.55,9.449999999999932,4035.72," 14.26",229,63,0.2751,-0.5075,-0.0735,Day1
GNFC,29-Dec-2022,9100,0,0.0000,0.0000,0.4000,0.0000,27300,717.3,11.549999999999955,55.5," 14.26",0,0,0.0000,-1.0000,0.0000,Day1
GODREJCP,27-Oct-2022,2727000,1227000,-0.0815,-0.0547,-0.0142,0.4499,6227000,835.8,-0.40000000000009095,6591.75," 49.41",2021,843,0.4171,-0.1597,-0.1485,Day1
GODREJCP,24-Nov-2022,16000,27000,0.0667,0.1250,0.1300,1.6875,226000,838.7,-1.0499999999999545,754.76," 49.41",2,3,1.5000,0.0000,-0.7857,Day1
GODREJCP,29-Dec-2022,0,1000,0.0000,0.0000,0.0000,0.0000,56000,843.45,-1.5,42.18," 49.41",0,0,0.0000,0.0000,0.0000,Day1
GODREJPROP,27-Oct-2022,1566825,660400,-0.0268,-0.0429,-0.0239,0.4215,4327050,1187.85,8.5,9798.09," 22.87",4611,1882,0.4082,0.1013,0.2522,Day1
GODREJPROP,24-Nov-2022,19500,11050,0.8182,0.2593,0.2707,0.5667,283725,1192.8,9.399999999999864,1793.65," 22.87",48,13,0.2708,1.8235,1.6000,Day1
GODREJPROP,29-Dec-2022,0,0,0.0000,0.0000,0.1613,0.0000,23400,1198.2,9.5,115.99," 22.87",0,0,0.0000,0.0000,0.0000,Day1
GRANULES,27-Oct-2022,5154000,3306000,-0.0341,0.0024,0.0085,0.6414,8312000,351.25,7.050000000000011,10442.98," 31.51",3831,1224,0.3195,1.7641,1.0165,Day1
GRANULES,24-Nov-2022,104000,70000,0.2093,0.0938,0.0186,0.6731,438000,352.6,7,799.7," 31.51",23,6,0.2609,0.0455,0.0000,Day1
GRANULES,29-Dec-2022,2000,0,0.0000,0.0000,0.0000,0.0000,16000,346.6,0,0," 31.51",0,0,0.0000,0.0000,0.0000,Day1
GRASIM,27-Oct-2022,875900,663575,0.1271,-0.0285,-0.0052,0.7576,6841900,1696.65,-1.75,16535.62," 56.30",3762,1111,0.2953,-0.3063,-0.5950,Day1
GRASIM,24-Nov-2022,0,950,0.0000,0.0000,0.8778,0.0000,240825,1700.85,-3.300000000000182,2919.06," 56.30",0,0,0.0000,0.0000,-1.0000,Day1
GRASIM,29-Dec-2022,0,475,0.0000,0.0000,0.4000,0.0000,3325,1710,-5,24.4," 56.30",0,0,0.0000,0.0000,0.0000,Day1
GSPL,27-Oct-2022,1162500,617500,-0.1341,-0.0159,-0.0230,0.5312,5095000,221.1,-2.3000000000000114,2117.56," 52.31",324,28,0.0864,-0.0873,-0.6111,Day1
GSPL,24-Nov-2022,0,15000,0.0000,0.0000,0.6338,0.0000,290000,221.9,-2.4499999999999886,576.96," 52.31",0,0,0.0000,0.0000,0.0000,Day1
GUJGASLTD,27-Oct-2022,3545000,1987500,0.0423,0.0614,-0.0084,0.5606,6607500,469.1,-3.25,7024.96," 28.76",2637,3027,1.1479,-0.4819,-0.1960,Day1
GUJGASLTD,24-Nov-2022,90000,120000,0.2000,0.3333,0.1952,1.3333,1002500,459.35,-3.6499999999999773,1506.69," 28.76",26,30,1.1538,-0.5094,-0.1892,Day1
GUJGASLTD,29-Dec-2022,0,0,0.0000,0.0000,0.0233,0.0000,55000,451.5,-3.5,11.25," 28.76",0,0,0.0000,0.0000,0.0000,Day1
HAL,27-Oct-2022,1941800,904400,-0.0041,-0.1270,0.0683,0.4658,3767700,2374.15,28.75,34518.96," 51.13",5562,1796,0.3229,0.2953,0.2446,Day1
HAL,24-Nov-2022,25175,17100,0.2326,0.1613,0.1434,0.6792,268850,2371.05,25.90000000000009,4108.74," 51.13",20,7,0.3500,-0.4444,2.5000,Day1
HAL,29-Dec-2022,950,0,0.0000,0.0000,0.0541,0.0000,18525,2371.25,21.25,90.6," 51.13",0,0,0.0000,-1.0000,0.0000,Day1
