SYMBOL,SERIES,CLOSE_PRICE1,CLOSE_PRICE2,CLOSE_PRICE3,CLOSE_PRICE4,CLOSE_PRICE5,CLOSE_PRICE6,CLOSE_PRICE7,CLOSE_PRICE8,CLOSE_PRICE9,CLOSE_PRICE10,%P_CHANGE,TTL_TRD_QNTY1,TTL_TRD_QNTY2,TTL_TRD_QNTY3,TTL_TRD_QNTY4,TTL_TRD_QNTY5,TTL_TRD_QNTY6,TTL_TRD_QNTY7,TTL_TRD_QNTY8,TTL_TRD_QNTY9,TTL_TRD_QNTY10,%TTL_TRD_QNTY_CHANGE,DELIV_QTY1,DELIV_QTY2,DELIV_QTY3,DELIV_QTY4,DELIV_QTY5,DELIV_QTY6,DELIV_QTY7,DELIV_QTY8,DELIV_QTY9,DELIV_QTY10,DELIV_PER1,DELIV_PER2,DELIV_PER3,DELIV_PER4,DELIV_PER5,DELIV_PER6,DELIV_PER7,DELIV_PER8,DELIV_PER9,DELIV_PER10,CASHFLOW1,CASHFLOW2,CASHFLOW3,CASHFLOW4,CASHFLOW5,CASHFLOW6,CASHFLOW7,CASHFLOW8,CASHFLOW9,"SUM FUTSTK,XX1","SUM FUTSTK,XX2","SUM FUTSTK,XX3","SUM FUTSTK,XX4","SUM FUTSTK,XX5","SUM FUTSTK,XX6","SUM FUTSTK,XX7","SUM FUTSTK,XX8","SUM FUTSTK,XX9","SUM FUTSTK,XX10",%OI_CHANGE,"SUM AVG,VAL_INLAKH1","SUM AVG,VAL_INLAKH2","SUM AVG,VAL_INLAKH3","SUM AVG,VAL_INLAKH4","SUM AVG,VAL_INLAKH5","SUM AVG,VAL_INLAKH6","SUM AVG,VAL_INLAKH7","SUM AVG,VAL_INLAKH8","SUM AVG,VAL_INLAKH9","SUM AVG,VAL_INLAKH10",AVG_PRICE1,AVG_PRICE2,AVG_PRICE3,AVG_PRICE4,AVG_PRICE5,AVG_PRICE6,AVG_PRICE7,AVG_PRICE8,AVG_PRICE9,AVG_PRICE10
PIDILITIND," EQ",2560.55,2564.4,2618.3,2618.3,2643.5,2637.7,2689.75,2664.95,2712.65,2691.4,-0.1501325846201805,410190,611705,268752,268752,65413,299403,427176,403651,436400,817003,-0.3294," 269628"," 288895"," 147528"," 147528"," 33168"," 120100"," 242509"," 95769"," 180550"," 370656"," 65.73"," 47.23"," 54.89"," 54.89"," 50.71"," 40.11"," 56.77"," 23.73"," 41.37"," 45.37",-691115882.16,-743425059.3000001,-385601310,-385601310,-87879942.72,-318465567,652494715.4,-255170754.36,490281719.49999994,2987750,2971500,2693250,2230500,2224750,1553500,831750,441000,357500,208500,0.5469,-11549.14,34218.659999999996,28421.210000000003,-1390.4699999999998,35397.89,-30599.43,15261.75,-5070.52,8500.570000000002,1409.81,2563.22,2573.34,2613.75,2613.75,2649.54,2651.67,2690.6,2664.44,2715.49,2683.83
PIIND," EQ",3213.25,3206.3,3125.35,3125.35,3121.85,3109.7,3140.5,3164.75,3088.95,3058.8,0.21676075226896477,189584,293976,139090,139090,14332,189980,231266,476486,293883,521182,-0.3551," 117947"," 167255"," 99326"," 99326"," 7253"," 123898"," 155494"," 272287"," 207553"," 361638"," 62.21"," 56.89"," 71.41"," 71.41"," 50.61"," 65.22"," 67.24"," 57.14"," 70.62"," 69.39",379500369.85,534642315.35,-310491089.48,-310491089.48,22674763.78,-385602789.48,-486008936.52,852846449.92,-635896730.34,1618250,1609000,1385750,1042500,1042500,533500,217750,24500,24000,17250,0.5749,-5759.32,19688.32,17500.98,-337.41,18442.82,-11588.07,7062.41,-332.83,770.81,320.33,3217.55,3196.57,3125.98,3125.98,3126.26,3112.26,3125.58,3132.16,3063.78,3067.25
PNB," EQ",43.1,43,43.3,43.3,41.1,40.75,40.5,39.35,38.85,36.9,0.23255813953488702,118353597,96348564,169573666,169573666,17217018,113842537,121051376,104078804,93855098,42448068,0.2284," 26202832"," 35073566"," 54972841"," 54972841"," 6699136"," 24859348"," 26657313"," 17375861"," 24330682"," 12192859"," 22.14"," 36.40"," 32.42"," 32.42"," 38.91"," 21.84"," 22.02"," 16.69"," 25.92"," 28.72",1137988993.76,1509917016.3,-2347340310.7000003,2347340310.7000003,275937411.84,1021967796.28,1056695887.32,686172750.89,932595041.06,243792000,237376000,236592000,163504000,160080000,129280000,65744000,43008000,25552000,21904000,2.7029,63466.38,-25382.41,77815.04,3493.64,-47053.92,47492.45,-16879.64,14182.240000000002,5355.49,2345.6299999999997,43.43,43.05,42.7,42.7,41.19,41.11,39.64,39.49,38.33,36.52
POLYCAB," EQ",2752.8,2775.15,2765.4,2765.4,2722,2698.1,2649.25,2706.65,2749.05,2618.8,-0.805361872331222,215373,362667,478836,478836,74923,674894,483384,1293572,1315807,223353,-0.4061," 81278"," 189518"," 189887"," 189887"," 37304"," 162413"," 256544"," 331712"," 262821"," 88956"," 37.74"," 52.26"," 39.66"," 39.66"," 49.79"," 24.06"," 53.07"," 25.64"," 19.97"," 39.83",-224671085.94,527047662.81999993,-523260212.67999995,523260212.67999995,101601547.44,441792594.34,-684066879.68,908668632.9599999,709251378.8100001,702000,724500,699000,640800,638100,485700,283200,213000,168300,155100,-3.1056,7625.84,-12867.48,17783.05,1064.87,19118.02,-13214.14,-5670.71,7462.13,1035.75,1193.53,2764.23,2780.99,2755.64,2755.64,2723.61,2720.18,2666.47,2739.33,2698.61,2597.67
POWERGRID," EQ",226.8,223.9,218.5,218.5,218.85,217.3,217.5,213.9,212.35,211.85,1.2952210808396631,8752410,18223867,15467016,15467016,849645,8725869,12278300,8696526,9942431,7140403,-0.5197," 5220906"," 13201218"," 10372220"," 10372220"," 394191"," 5223764"," 7663800"," 5335734"," 6654928"," 4247814"," 59.65"," 72.44"," 67.06"," 67.06"," 46.39"," 59.87"," 62.42"," 61.35"," 66.93"," 59.49",1184205898.92,2922221616.48,-2260106738,-2260106738,86497331.13000001,1131780708.24,1648253466,1145848876.5,1416967269.76,28692900,28096200,24432300,19569600,19386000,8521200,4708800,4287600,4222800,4033800,2.1238,20299.85,29244.52,30350.34,-2958.32,-54643.619999999995,17582.399999999998,5057.910000000001,-2589.5600000000004,-1423.68,1870.82,226.82,221.36,217.9,217.9,219.43,216.66,215.07,214.75,212.92,212.53
PVR," EQ",1740.75,1737.25,1726.95,1726.95,1715.75,1705.2,1738.35,1781.15,1726.65,1688.65,0.20146783709886315,511014,346077,464309,464309,41757,515631,665617,1532646,971102,1151766,0.4766," 289832"," 169179"," 165469"," 165469"," 13044"," 121825"," 256335"," 698593"," 348309"," 216970"," 56.72"," 48.88"," 35.64"," 35.64"," 31.24"," 23.63"," 38.51"," 45.58"," 35.87"," 18.84",505832196.32,-292270256.82,-286105829.14,286105829.14,-22391460.84,-209334334,-448463209.2,1234714225.99,595099858.86,2744808,2733819,2406998,1896620,1894178,1110703,310948,225071,189255,117623,0.4020,11150.970000000001,-20386.469999999998,26739.07,-1090.19,-19614.36,-20707.039999999997,5940.570000000001,-2849.6400000000003,3808.45,899.52,1745.26,1727.58,1729.06,1729.06,1716.61,1718.32,1749.52,1767.43,1708.54,1696.4
RAIN," EQ",161.35,165.75,164.1,164.1,165.15,164.65,167.5,165.3,165.35,166.15,-2.6546003016591286,1166346,917585,1059622,1059622,224423,1455203,864448,565937,746746,830693,0.2711," 536375"," 305743"," 284610"," 284610"," 115784"," 356886"," 222076"," 173244"," 218751"," 217111"," 45.99"," 33.32"," 26.86"," 26.86"," 51.59"," 24.52"," 25.69"," 30.61"," 29.29"," 26.14",-87214575,50435365.28,-46886651.400000006,-46886651.400000006,-19136779.52,-59328728.64,36973433.24,28749841.799999997,36292978.41,10293500,10153500,7619500,5040000,4917500,2205000,1708000,1526000,1389500,1211000,1.3788,4656.889999999999,-9969.72,9496.93,-537.9799999999999,9621.640000000001,1837.97,-782.56,-524.99,785.7199999999999,353.20000000000005,162.6,164.96,164.74,164.74,165.28,166.24,166.49,165.95,165.91,165.04
RAMCOCEM," EQ",698.5,703.9,709.45,709.45,703.9,703.4,708.1,697.15,706.1,707.2,-0.767154425344506,98075,238001,534584,534584,37884,261094,392924,355152,147005,205085,-0.5879," 28813"," 78891"," 227067"," 227067"," 16141"," 97370"," 169842"," 214714"," 55382"," 54338"," 29.38"," 33.15"," 42.48"," 42.48"," 42.61"," 37.29"," 43.23"," 60.46"," 37.67"," 26.50",-20184370.89,-55740436.05,-160997315.01,160997315.01,-11434607.219999999,69072330.6,-119293623.96,-151560171.18,39141782.32,3061700,2986050,2517700,1964350,1949900,1602250,1457750,1225700,1184900,1089700,2.5334,3214.73,10604.78,-11611.550000000001,-350.14,11599.949999999999,6036.740000000001,3871.94,-976.9300000000001,-2055.9,1753.1200000000001,700.53,706.55,709.03,709.03,708.42,709.38,702.38,705.87,706.76,700.4
RBLBANK," EQ",137.5,136.35,123.8,123.8,127.3,133.25,128.8,128.75,129.35,127.05,0.8434176751008476,58769066,76496046,33394485,33394485,7709738,23246984,10242588,10741120,15598447,9743517,-0.2317," 4148560"," 11142848"," 3947320"," 3947320"," 2292494"," 5242745"," 809950"," 1499017"," 5525721"," 2013011"," 7.06"," 14.57"," 11.82"," 11.82"," 29.74"," 22.55"," 7.91"," 13.96"," 35.42"," 20.66",567896378.4,1495035916.1599998,-486546663.20000005,-486546663.20000005,-295433701.78000003,694139438,-103082336.5,194482465.58,711326064.3299999,49680000,45555000,39920000,23170000,21975000,11485000,7130000,5880000,2675000,2125000,9.0550,-89668.01,95171.26000000001,-54047.030000000006,8478.83,37976.37,11661.97,-4208.610000000001,-7974.839999999999,2398.5899999999997,1548.8899999999999,136.89,134.17,123.26,123.26,128.87,132.4,127.27,129.74,128.73,126.19
RECLTD," EQ",99.85,96.5,94.4,94.4,94.65,93.65,93.65,93.7,93.9,91.65,3.4715025906735693,23243795,17893756,9001250,9001250,1462832,4485275,4971659,7192398,8152180,5555192,0.2990," 9226264"," 9461211"," 5984061"," 5984061"," 1179448"," 2719791"," 3190314"," 4262236"," 5383850"," 3907555"," 39.69"," 52.87"," 66.48"," 66.48"," 80.63"," 60.64"," 64.17"," 59.26"," 66.04"," 70.34",914138237.12,907235522.79,-562980458.88,-562980458.88,111575780.8,255143593.71,-297879618.18,400223960.40000004,501236434.99999994,43000000,45344000,34952000,26112000,25816000,16672000,8248000,5160000,3816000,3448000,-5.1694,26035.48,38266.09,17129.38,-989.8100000000001,-13734.16,13286.49,-4967.13,2744.8100000000004,742.04,517.64,99.08,95.89,94.08,94.08,94.6,93.81,93.37,93.9,93.1,91.63
RELIANCE," EQ",2526.15,2451.15,2441.55,2441.55,2479.85,2471.6,2500.6,2493.9,2451.25,2408.75,3.059788262652224,8126824,5774775,5645639,5645639,1555270,3804352,4022919,8882553,5729899,7720595,0.4073," 4021804"," 3320289"," 3473856"," 3473856"," 436975"," 1689855"," 1994838"," 3768892"," 3210585"," 2473925"," 49.49"," 57.50"," 61.53"," 61.53"," 28.10"," 44.42"," 49.59"," 42.43"," 56.03"," 32.04",10087247484.56,-8130790108.9800005,-8564375105.280001,-8564375105.280001,-1084484555,-4210324428.1500006,4992501010.9800005,9420383242.92,7867024848.900001,32571500,33278250,25651750,18312000,18128500,12697750,7378000,4646250,3185500,2095000,-2.1238,327737.18999999994,-370662.91,284241.54000000004,39392.600000000006,220057.18000000002,-174782.94,136111.29,-67361.01,54209.58,32494.04,2508.14,2448.82,2465.38,2465.38,2481.8,2491.53,2502.71,2499.51,2450.34,2376.1
SAIL," EQ",78.95,82.55,79.35,79.35,78.5,77.85,79.6,78.4,78.9,78.25,-4.3609933373712835,29330156,31614891,14835434,14835434,1726938,13898452,13611208,8775176,9906432,11143044,-0.0723," 12275807"," 10762816"," 5966949"," 5966949"," 995596"," 5459757"," 5053167"," 2241967"," 3739886"," 3245153"," 41.85"," 34.04"," 40.22"," 40.22"," 57.65"," 39.28"," 37.13"," 25.55"," 37.75"," 29.12",-976172172.64,882550912,-472463021.82000005,472463021.82000005,78164241.96000001,-426734607.12,399351788.01,177115393,294628219.08,96502000,92754000,68736000,45720000,44700000,26610000,20328000,14556000,12744000,9486000,4.0408,34296.92,55149.67,35775.88,-1953.0300000000002,25117.100000000002,11689.22,6562.68,-3064.5,4946.13,1714.31,79.52,82,79.18,79.18,78.51,78.16,79.03,79,78.78,77.61
SBICARD," EQ",810.3,858.15,844.85,844.85,855.5,865.45,886.95,886.45,883.7,858.5,-5.57594826079357,8430730,1721615,1560814,1560814,371350,1197189,642160,760863,991434,1114767,3.8970," 3522772"," 754832"," 831087"," 831087"," 169210"," 508521"," 283174"," 289500"," 458792"," 528930"," 41.78"," 43.84"," 53.25"," 53.25"," 45.57"," 42.48"," 44.10"," 38.05"," 46.28"," 47.45",-2862674982.64,646792895.84,-702875208.51,-702875208.51,-145501986.9,-445128772.14000005,-249750972.78,256745970,400722696.56,6824000,6088000,5167200,3209600,3002400,1828800,749600,339200,302400,268000,12.0894,92460.34999999999,-47401.5,-34230.060000000005,-4113.2,17125.469999999998,11890.63,-4936.03,2080.05,2013.3,2310.44,812.62,856.87,845.73,845.73,859.89,875.34,881.97,886.86,873.43,852.31
SBILIFE," EQ",1252.8,1252.9,1254.85,1254.85,1257.6,1246.35,1222.95,1227.1,1219.05,1189.8,-0.00798148295954477,528795,1512949,1260061,1260061,157253,1020728,878595,947326,1367703,1615547,-0.6505," 355918"," 1115838"," 906666"," 906666"," 42753"," 460196"," 604675"," 612708"," 795219"," 1159621"," 67.31"," 73.75"," 71.95"," 71.95"," 27.19"," 45.09"," 68.82"," 64.68"," 58.14"," 71.78",445748144.02000004,-1396203455.8799999,-1140885027.78,1140885027.78,53615254.71,571347139.88,-738785868.25,752399296.92,960966496.1700001,5277000,5284500,4836000,3600750,3609750,1960500,532500,399750,388500,195750,-0.1419,-8188.22,-23412.18,39861.04,3449.2599999999998,34686.479999999996,-24010.06,-4145.11,2032.92,-4498.5,1565.03,1252.39,1251.26,1258.33,1258.33,1254.07,1241.53,1221.79,1227.99,1208.43,1187.19
SBIN," EQ",570.75,579.65,578.55,578.55,570.5,560.85,555.4,553.4,562.45,543.65,-1.5354092987147379,10043644,13613533,19899324,19899324,3692065,11767639,11225588,9540583,20440781,13485349,-0.2622," 3798576"," 5998675"," 8833736"," 8833736"," 1510943"," 4401295"," 4079003"," 3398721"," 9747060"," 3700920"," 37.82"," 44.06"," 44.39"," 44.39"," 40.92"," 37.40"," 36.34"," 35.62"," 47.68"," 27.44",-2175254546.4,3483490559.25,-5108372854.08,5108372854.08,860421600.7800001,2476608696.5,-2251528075.94,-1887649643.3999999,5440711421.400001,59403000,57652500,49218000,32269500,29949000,18216000,11019000,8580000,5070000,3580500,3.0363,119767.57,-180046.61,244128.09999999998,-33793.8,-138564.63999999998,74054.79,-28532.24,-36838.46,21676.66,8122.66,572.65,580.71,578.28,578.28,569.46,562.7,551.98,555.4,558.19,538.7
SHREECEM," EQ",21779.85,21512.2,21299.65,21299.65,21044.45,20935.2,21895.7,21324,20967.9,20831.1,1.2441777224086696,42127,52523,93534,93534,7274,108220,69424,62446,74047,179228,-0.1979," 17073"," 21118"," 42372"," 42372"," 1449"," 30005"," 20889"," 7416"," 18109"," 54271"," 40.53"," 40.21"," 45.30"," 45.30"," 19.92"," 27.73"," 30.09"," 11.88"," 24.46"," 30.28",368866603.97999996,452172702.96000004,-898521564.6,898521564.6,-30560308.38,-644381078.95,452029395.51,157971924,379629470.22,282950,294250,297475,289550,288950,163875,69075,50050,37725,14100,-3.8403,-11351.13,-27121.22,34327.48,-793.3,44699.99,35246.07,9171.66,-6268.97,10476.189999999999,1322.03,21605.26,21411.72,21205.55,21205.55,21090.62,21475.79,21639.59,21301.5,20963.58,20565.92
SIEMENS," EQ",2918.35,2879.75,2834.05,2834.05,2817.8,2813.95,2875.9,2885.85,2823.7,2745.45,1.3403941314350172,390100,258648,106724,106724,22713,153542,713041,489211,336855,61974,0.5082," 183545"," 153821"," 49719"," 49719"," 9999"," 69641"," 385200"," 226755"," 144169"," 23240"," 47.05"," 59.47"," 46.59"," 46.59"," 44.02"," 45.36"," 54.02"," 46.35"," 42.80"," 37.50",532831135,440234163.78999996,-140776862.54999998,140776862.54999998,-28250774.64,-197731691.3,1115327340,653408137.8,406410969.30999994,1435500,1381600,1200650,731500,722425,383350,93225,55000,43175,43175,3.9013,18689.75,18032.16,22009.41,-606.3100000000001,15223.789999999999,12924.279999999999,-3178.15,1512.1200000000001,272.95,365.34,2903,2861.99,2831.45,2831.45,2825.36,2839.3,2895.45,2881.56,2818.99,2744.21
SRF," EQ",2494.45,2499.45,2500.35,2500.35,2547.5,2540.5,2576.1,2580.6,2564.2,2550.95,-0.20004400968213007,385655,530868,680152,680152,62203,489326,369894,479569,448673,477988,-0.2735," 218728"," 334722"," 363026"," 363026"," 27125"," 106262"," 188401"," 205086"," 243001"," 139919"," 56.72"," 63.05"," 53.37"," 53.37"," 43.61"," 21.72"," 50.93"," 42.76"," 54.16"," 29.27",-544895193.5999999,-837159805.3199999,-910305846.3000001,-910305846.3000001,-69296508.75,273336679.98,-483879708.34999996,527963144.09999996,624087318.25,3686250,3626625,3058125,2045625,1818750,899625,270750,148875,126375,94500,1.6441,12302.16,-32299.870000000003,43386.16,-7803.370000000001,37240.53,-20625.9,5703.8,-2201.58,2448.7999999999997,1074.22,2491.2,2501.06,2507.55,2507.55,2554.71,2572.29,2568.35,2574.35,2568.25,2540.14
SRTRANSFIN," EQ",1274.7,1246.9,1217.1,1217.1,1199,1197.7,1215.8,1214.55,1224.15,1192.4,2.2295292324965876,553139,908707,943687,943687,79152,1000582,667824,366781,878966,313435,-0.3913," 215587"," 414219"," 429259"," 429259"," 28069"," 255763"," 241622"," 112839"," 374630"," 103072"," 38.98"," 45.58"," 45.49"," 45.49"," 35.46"," 25.56"," 36.18"," 30.76"," 42.62"," 32.88",272088040.96,513685408.47,-522644295.45,522644295.45,-33706939.339999996,-308723844.40999997,-292947345.24,137413077.42,455254122.3,3666000,3609600,3426000,2910600,2914800,1125600,480600,327000,268800,241200,1.5625,-13044.460000000001,-27780.510000000002,32569.18,-1642.34,41253.950000000004,16048.79,3550.58,-2357.58,964.2,2383.8799999999997,1262.08,1240.13,1217.55,1217.55,1200.86,1207.07,1212.42,1217.78,1215.21,1187.59
SUNPHARMA," EQ",990,1011.65,991.55,991.55,987,977.7,980.35,976.9,978.35,980,-2.1400682054070064,3934980,4379157,2119595,2119595,191840,1791608,1669666,2424533,2065146,2647369,-0.1014," 2480838"," 2957465"," 1325574"," 1325574"," 77757"," 947703"," 947422"," 1366351"," 1279595"," 1599630"," 63.05"," 67.54"," 62.54"," 62.54"," 40.53"," 52.90"," 56.74"," 56.36"," 61.96"," 60.42",-2466151439.04,2978788322.65,-1314757316.16,1314757316.16,76729830.03,933335822.52,925981840.14,-1330101707.97,-1251200786.95,19421500,19770100,16755200,12176500,12180000,2872100,1169000,658700,529200,454300,-1.7633,-44379.66,72944.71,-82550.55,-2097.83,110048.04000000001,-23788.63,8579.07,-2981.07,-2843.42,2596.58,994.08,1007.21,991.84,991.84,986.79,984.84,977.37,973.47,977.81,979.74
20MICRONS," EQ",88.2,88.25,89.65,89.65,91.55,90.5,91.25,92.5,93.5,94.1,-0.056657223796030776,106513,189125,101692,101692,44325,89828,103507,126085,116446,54373,-0.4368," 63302"," 98074"," 53728"," 53728"," 30018"," 55716"," 63672"," 81995"," 78048"," 29934"," 59.43"," 51.86"," 52.83"," 52.83"," 67.72"," 62.03"," 61.51"," 65.03"," 67.03"," 55.05",-5626281.76,-8744277.84,-4879576.96,-4879576.96,-2737941.78,-5082970.680000001,-5860370.880000001,-7671452.2,7380999.359999999,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,88.88,89.16,90.82,90.82,91.21,91.23,92.04,93.56,94.57,94.24
21STCENMGM," EQ",22.4,22,22.1,22.1,22.5,22.3,22.55,22.9,22.85,23,1.8181818181818117,5054,2454,12815,12815,1229,4494,9758,4539,3644,3912,1.0595," 2104"," 2452"," 7280"," 7280"," 332"," 2203"," 6125"," 1902"," 2036"," 1421"," 41.63"," 99.92"," 56.81"," 56.81"," 27.01"," 49.02"," 62.77"," 41.90"," 55.87"," 36.32",46414.24,-53649.759999999995,-161834.4,-161834.4,-7466.679999999999,-49743.74,-138608.75,-43365.6,-46604.04,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,22.06,21.88,22.23,22.23,22.49,22.58,22.63,22.8,22.89,23.16
3IINFOLTD," EQ",43.5,44.3,44.95,44.95,42.7,41.85,41.9,42.1,41.9,41.85,-1.805869074492093,236056,456091,1429981,1429981,156509,307759,257132,171415,384621,204062,-0.4824," 152046"," 262698"," 554606"," 554606"," 121288"," 155865"," 170898"," 105219"," 228362"," 140506"," 64.41"," 57.60"," 38.78"," 38.78"," 77.50"," 50.65"," 66.46"," 61.38"," 59.37"," 68.85",-6664176.18,11803021.14,-24790888.200000003,24790888.200000003,5155952.88,-6519832.95,-7179424.9799999995,-4442346.18,9643727.26,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,43.83,44.93,44.7,44.7,42.51,41.83,42.01,42.22,42.23,41.96
3MINDIA," EQ",23040.45,22610.3,22922.1,22922.1,23168.2,22954.7,23227.15,23469.7,23683.6,23414.1,1.9024515375735902,2830,1547,1041,1041,268,2805,2095,1088,3461,5166,0.8293," 1180"," 875"," 394"," 394"," 145"," 1405"," 761"," 326"," 1762"," 2651"," 41.70"," 56.56"," 37.85"," 37.85"," 54.10"," 50.09"," 36.32"," 29.96"," 50.91"," 51.32",27069825.4,-19972277.5,-9105986.16,-9105986.16,3365242.65,-32348129.900000002,-17695578.66,-7696012.4,41724142.38,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,22940.53,22825.46,23111.64,23111.64,23208.57,23023.58,23253.06,23607.4,23679.99,23519.62
3PLAND," EQ",17.6,16.95,17.45,17.45,18.4,18.45,19.1,19.35,19.95,20.7,3.8348082595870334,13963,14782,32759,32759,6674,2551,2532,9806,81085,60369,-0.0554," 8619"," 12105"," 20903"," 20903"," 5593"," 1841"," 1504"," 7101"," 61364"," 49487"," 61.73"," 81.89"," 63.81"," 63.81"," 83.80"," 72.17"," 59.40"," 72.41"," 75.68"," 81.97",152901.06,-206874.45,-359322.57,-359322.57,-100338.42000000001,-34555.57,-28636.16,-139747.68,1261643.8399999999,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,17.74,17.09,17.19,17.19,17.94,18.77,19.04,19.68,20.56,20.37
4THDIM," EQ",83.4,85.1,86.8,86.8,88.55,90.05,90.65,88.9,87.2,85.5,-1.997649823736767,5652,1137,13964,13964,31164,45091,7129,1,20,109,3.9710," 5142"," 1137"," 4898"," 4898"," 18477"," 30652"," 5030"," 1"," 20"," 109"," 90.98"," 100.00"," 35.08"," 35.08"," 59.29"," 67.98"," 70.56"," 100.00"," 100.00"," 100.00",-428842.80000000005,-96758.7,-427546.42000000004,-427546.42000000004,-1644268.23,2790558.08,455567.1,88.9,1744,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,83.4,85.1,87.29,87.29,88.99,91.04,90.57,88.9,87.2,85.5
5PAISA," EQ",322.65,335,333.45,333.45,340.4,335.05,347.5,356.65,362.05,343.8,-3.6865671641791113,32411,21401,25387,25387,10467,44611,103167,54318,110162,46438,0.5145," 20492"," 11968"," 11996"," 11996"," 6403"," 22891"," 46261"," 30445"," 64691"," 22927"," 63.23"," 55.92"," 47.25"," 47.25"," 61.17"," 51.31"," 44.84"," 56.05"," 58.72"," 49.37",-6711949.680000001,4028548.48,-4006304.12,-4006304.12,2193539.7399999998,-7776072.7,-16412477.579999998,11051230.55,23106331.38,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,327.54,336.61,333.97,333.97,342.58,339.7,354.78,362.99,357.18,343.56
63MOONS," EQ",161.75,162.85,166.6,166.6,164.85,161.55,163.2,164.8,166.5,167.65,-0.6754682222904479,27621,44284,56743,56743,11022,44449,43540,39670,42664,40201,-0.3763," 16661"," 23959"," 17658"," 17658"," 6754"," 22017"," 24971"," 25295"," 27282"," 20654"," 60.32"," 54.10"," 31.12"," 31.12"," 61.28"," 49.53"," 57.35"," 63.76"," 63.95"," 51.38",-2707245.89,-3930713.54,-2934053.28,2934053.28,1113869.68,-3612549.3600000003,-4102485.59,-4195175.75,4598926.74,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,162.49,164.06,166.16,166.16,164.92,164.08,164.29,165.85,168.57,168.13
A2ZINFRA," EQ",10.2,10.3,10.35,10.35,10.65,10.35,10.4,10.4,10.25,10.45,-0.9708737864077808,312079,361685,233045,233045,78358,239513,130562,204397,340241,99593,-0.1372," 253065"," 212727"," 189258"," 189258"," 52514"," 214013"," 113747"," 147639"," 254434"," 73111"," 81.09"," 58.82"," 81.21"," 81.21"," 67.02"," 89.35"," 87.12"," 72.23"," 74.78"," 73.41",-2611630.8000000003,-2214488.07,-1983423.84,-1983423.84,559274.1,-2234295.7199999997,-1187518.68,1542827.5499999998,-2653746.62,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,10.32,10.41,10.48,10.48,10.65,10.44,10.44,10.45,10.43,10.56
AAKASH," EQ",12.05,12.4,12.3,12.3,13.1,13.15,13.15,13.05,13,12.85,-2.8225806451612874,712263,386316,525259,525259,93149,61006,71589,173008,157110,477224,0.8437," 380782"," 193386"," 334467"," 334467"," 58140"," 39292"," 50105"," 100038"," 106530"," 304425"," 53.46"," 50.06"," 63.68"," 63.68"," 62.42"," 64.41"," 69.99"," 57.82"," 67.81"," 63.79",-4603654.38,-2374780.08,-4224318.21,-4224318.21,-763959.6,517082.72000000003,-657878.65,-1313498.9400000002,1400869.5,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,12.09,12.28,12.63,12.63,13.14,13.16,13.13,13.13,13.15,12.92
AAREYDRUGS," EQ",37.75,37.4,37.65,37.65,38.1,37.35,38.05,37.85,38.1,39,0.9358288770053514,15289,29024,18308,18308,9723,23399,20338,18289,49423,38808,-0.4732," 11148"," 18269"," 11586"," 11586"," 5418"," 13888"," 10557"," 11625"," 30374"," 31448"," 72.92"," 62.94"," 63.28"," 63.28"," 55.72"," 59.35"," 51.91"," 63.56"," 61.46"," 81.03",422063.27999999997,-682895.2200000001,-434590.86,-434590.86,205450.56,-523577.60000000003,403805.25,-442098.75,-1159679.32,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,37.86,37.38,37.51,37.51,37.92,37.7,38.25,38.03,38.18,39.08
AARTIDRUGS," EQ",466.75,466.5,460.05,460.05,457.35,460.8,460.95,465.1,463,459.75,0.05359056806002144,36480,53674,74125,74125,25167,86973,61293,58485,68160,46108,-0.3203," 18628"," 24790"," 35056"," 35056"," 13025"," 43742"," 21737"," 22738"," 26095"," 23157"," 51.06"," 46.19"," 47.29"," 47.29"," 51.75"," 50.29"," 35.46"," 38.88"," 38.28"," 50.22",8690520.84,11547677.8,-16177292.32,16177292.32,-5959067.75,-20182558.8,-10079229.53,10594998.48,12069981.3,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,466.53,465.82,461.47,461.47,457.51,461.4,463.69,465.96,462.54,459.19
